Date,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_7,Ret_Lag_14,Ret_Lag_30,Close_to_MA_7,Close_to_MA_30,Close_to_MA_90,Vol_7,Vol_30,Mom_30,HL_Range,Volume_Change,Target,Close,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday,Split
2018-06-23,0.6307208987887369,-2.080023267516865,-0.2821727870247489,-0.27078773384361615,-2.079060300532995,-0.6154743764681908,-1.3167501858445336,-1.2988453727188216,-1.2301351840255836,0.8196901640213154,0.08252531745024091,-1.177626515847943,-0.4783572701926541,-2.290153797703905,-0.0038894587739868314,6177.38,0,1,0,0,0,0,train
2018-06-24,-0.22060039160561015,0.6307664330452636,-2.0806748145688285,1.2450414261771736,0.4153436843656269,-0.7151059921167239,-1.258766511696499,-1.281280200701401,-1.2334831766570618,0.820355251790011,0.08037615832424325,-1.1258828981931817,0.843742940613843,1.5020889979396774,0.016154122417542993,6153.4,0,0,1,0,0,0,train
2018-06-25,0.4716026773928872,-0.2203021224732627,0.6303287509485611,0.06204881499155441,-1.7428645680063493,-0.03277837837738387,-0.6897724742375408,-1.1204464887696666,-1.1751142888327577,0.653321952716601,0.09086522427796413,-0.9707394326937266,-0.10673238996259468,-0.2665882967210355,-0.030129835515349868,6253.61,1,0,0,0,0,0,train
2018-06-26,-1.1268091742818331,0.47169544965976207,-0.22047006990427503,0.015702547322577035,-1.4272071911001554,-1.2051817882661295,-1.019453135033089,-1.3012998613653644,-1.2621652775519512,0.656551382340583,0.10759843709529995,-1.1135664758385504,-0.2614235928761395,-0.36269497320463073,0.011085330714092123,6068.0,0,0,0,0,1,0,train
2018-06-27,0.29655246357553205,-1.1262418756223946,0.47130818295938254,-0.282649234789989,1.716169719157511,1.6000808838909066,-0.46595653550092164,-1.182769437120565,-1.2230325635395285,0.6935144300711426,0.09382969320916082,-0.917120289490413,-0.5534306785324109,-0.062166206600762636,-0.04795824179642416,6135.64,0,0,0,0,0,1,train
2018-06-28,-1.742511399607057,0.29669720364181557,-1.1261226977039076,-2.0802003495082984,-1.4372090338457923,-0.5210804887573043,-1.0744176020676512,-1.480090182524027,-1.3668793713914251,0.7815578284619623,0.05059174694709259,-1.3540674407333215,0.2937470715976597,0.2923515451884148,0.059076778881639314,5848.33,0,0,0,1,0,0,train
2018-06-29,1.9539323194915386,-1.7417613151683644,0.2963654002681915,0.6292021853355629,0.43450916871746137,0.453672216023589,0.15773255811151568,-0.9935953877036094,-1.179751526808891,0.22923541679178788,0.18496493876548958,-1.0308249732285417,1.0692695754224655,0.5075266407701388,0.02882975213745098,6204.24,0,0,0,0,0,0,train
2018-06-30,0.9093542802509984,1.9535850271174273,-1.7414470566900622,-0.22099047818463294,-0.2700965660670853,0.0024362619013089735,0.7117923324494696,-0.7233213042446641,-1.0839135253861647,0.27235694885702477,0.20692589101600473,-0.9715373627329801,0.005750460731122696,-0.9104590875274218,-0.0056094433228341956,6385.71,0,1,0,0,0,0,train
2018-07-01,-0.2799998857361933,0.9093170955929885,1.9527280955619972,0.47029491261779843,1.2444472114059613,0.5064508373986412,0.47527607711489817,-0.7223123568246015,-1.0990819386799964,0.2764797813994058,0.2049937910440465,-1.0084348171407438,-0.6689490345427062,-0.8303109965749835,0.040581146241756016,6349.99,0,0,1,0,0,0,train
2018-07-02,1.3151874986904395,-0.27968398245802767,0.9087911306319351,-1.125997867688548,0.06245774628497267,0.19054062468167776,1.235294548482399,-0.34714140485034256,-0.9589545821797901,0.4102181687087916,0.25222947678389956,-0.9030802025901967,0.3129658255424753,1.2333781674989235,-0.016003731556731182,6612.98,1,0,0,0,0,0,train
2018-07-03,-0.6389655888610903,1.3150298328354673,-0.27983310961181646,0.29547676908679626,0.01615077901025208,-1.0629204075910483,0.6206824982009385,-0.43101991761574177,-1.0119681565394762,0.29878451706820763,0.2504814188264182,-1.011459415754184,-0.5838083747006406,-0.6457392405035663,0.011649780707054802,6507.99,0,0,0,0,1,0,train
2018-07-04,0.3160456875504003,-0.6385431181172372,1.3143752827106958,-1.7408838347035223,-0.2819480087781974,0.5052085029321816,0.6560223124665013,-0.2953133851174595,-0.9714984078386442,0.2989739119557471,0.24247865142833847,-0.8310913109882722,0.23756004438057604,0.20717899137382542,-0.007708565577273063,6584.25,0,0,0,0,0,1,train
2018-07-05,-0.3524928625571047,0.3161846405917424,-0.6385785097225095,1.9506593776566248,-2.079060300532995,0.09675110329903275,0.12570408470301245,-0.31422811346947344,-0.9973151895930142,-0.17082350478025352,0.22860303860258308,-0.943266877926452,-0.3366653168247167,0.22875967846665618,0.009571885282628756,6533.69,0,0,0,1,0,0,train
2018-07-06,0.24428577717802313,-0.35215543802286176,0.31584666093859687,0.9074661726267844,0.6291301857540771,0.05156288121186613,0.1468325478302613,-0.1871432892033641,-0.9631953470176918,-0.5859128893926446,0.2317525541452826,-0.9240722636011374,-0.6679090608847917,-0.5597285569791209,0.02447765756619269,6596.53,0,0,0,0,0,0,train
2018-07-07,0.7590551301136094,0.24444603384731578,-0.35228159632917977,-0.2803112242959392,-0.22034153714778867,-0.40648386210813237,0.521795805280447,0.06662433584651854,-0.8770017133990179,-0.6221763597113797,0.25451972487784447,-0.8317662257427658,-0.1242725269161002,-0.19254245977012335,-0.00792929460766878,6759.99,0,1,0,0,0,0,train
2018-07-08,-0.3601157175148577,0.7590625653158972,0.24413079077512104,1.3127613635530853,0.4703576621495029,-0.6578881417764412,0.16137735425334607,0.03791877185671627,-0.9043569672937788,-0.6063805740317066,0.2541708930250457,-0.8255922197841263,-1.0388946925765081,0.1033263938694626,-0.005959631348412486,6706.6,0,0,1,0,0,0,train
